Issue Type,Summary,Description,Epic Link,Priority,Labels
Task,"Статистика: кэш загруженных периодов","Кэшировать уже загруженные периоды, не перезапрашивать неизменившееся; использовать завершённые периоды или срез на момент запроса. §5.1","Админ-панель",Medium,"tz-04-08 admin perf"
Task,"Автообновление разделов админки (10–30с)","Автообновление мониторинга, задач и всех разделов, где данные должны обновляться без ручной перезагрузки. §5.2","Админ-панель",Medium,"tz-04-08 admin"
Task,"Объединить отчёт по модулям, статусам задач и ошибкам","Свести отчёт, статусы задач и ошибки в один раздел; в списке проблем показывать причину ошибки и логи. §5.2","Админ-панель",Medium,"tz-04-08 admin"
Task,"Кликабельные карточки аккаунтов в админке","Карточки аккаунтов кликабельны, показывают полную информацию и действия, доступные в user-панели. §5.2","Админ-панель",Medium,"tz-04-08 admin ui"
Task,"Доступ: один переключатель вместо двух галочек","Заменить две галочки доступа одним понятным переключателем; показывать клиента и доступные ему модули/блоки; сохранить вход под аккаунтом клиента. §5.3","Админ-панель",Medium,"tz-04-08 admin rbac"
Task,"Убрать распределение аккаунтов клиента из общей админки","Перенести ресурсы, группы аккаунтов и распределение аккаунтов в рабочую зону клиента; в user-панели владелец назначает группы субам; разделить одиночные аккаунты и группы. §5.4","Админ-панель",Medium,"tz-04-08 admin rbac"
Task,"Парсер: сохранять результаты в свою БД + отдавать кэш","Сохранять результаты парсинга в собственную БД; при повторном совпадающем запросе сначала отдавать из базы; показывать дату последнего обновления. §6","Парсер и база каналов",High,"tz-04-08 parser db"
Task,"Парсер: регулярная ревизия + фоновый парсинг","Ревизия сохранённых каналов (обсуждён режим раз в неделю); сервисные аккаунты для ревизии; постоянный фоновый парсинг по актуальным тегам; распределение аккаунтов между сбором и ревизией. §6","Парсер и база каналов",Medium,"tz-04-08 parser"
Task,"Парсер: нейтральное имя, сессии в админку, массовый импорт","Не показывать источник/название внешнего сервиса (имя «Парсер»); управление сессиями парсера в админке; массовое подключение сессий с отдельным отпечатком и прокси; ручное повторное подключение при reauth. §6","Парсер и база каналов",Medium,"tz-04-08 parser admin"
Task,"Логи в user-панели: свои + логи менеджеров","В user-панели администратор видит свои логи и логи своих менеджеров; в общей админке — логи всех. §7","Логи, статистика, безопасность",Medium,"tz-04-08 logs rbac"
Task,"Статистика: группировка действий по модулям + Total","Группировать однотипные действия по модулям; для каждого модуля показывать Total: число действий и потраченных токенов. §7","Логи, статистика, безопасность",Medium,"tz-04-08 stats"
Task,"Обзор аккаунта: один аккаунт за раз, без хранения переписок","Разрешить просмотр только одного аккаунта; не хранить переписки TG в этом разделе, подтягивать данные выбранного аккаунта; доработать диалоги/группы/каналы. §7","Логи, статистика, безопасность",Medium,"tz-04-08 accounts"
Task,"Поддержка: тикеты интегрировать с админ-панелью","Создание тикета, ответ администратора, история переписки; интеграция user-панели поддержки с админкой. §8","Поддержка и Help Center",Medium,"tz-04-08 support"
Task,"Быстрый виджет поддержки (правый нижний угол)","Виджет поддержки с историей запросов в правом нижнем углу. §8","Поддержка и Help Center",Low,"tz-04-08 support ui"
Task,"Help Center: кнопку вниз, починить навигацию","Переместить кнопку Help Center вниз; не открывать поверх уже открытого; починить навигацию и состояния категорий/статей; убрать несвязанные материалы. §8","Поддержка и Help Center",Low,"tz-04-08 help ui"
Task,"Обучение: пошаговый формат по каждому модулю","Для каждого модуля: расположение в меню, назначение, перечень блоков; для каждого блока — краткое описание; для каждой кнопки/настройки — действие и результат. §9","Обучение и документация",Medium,"tz-04-08 learning"
Task,"Обучение: отдельные HQ-изображения блоков + там, где только текст","Отдельные изображения блоков/элементов (не один общий скрин), высокого качества; добавить изображения там, где сейчас только текст. Зум по клику уже есть. §9","Обучение и документация",Medium,"tz-04-08 learning"
Task,"Скрыть нерабочие разделы (без удаления кода)","Скрыть «Аналитика», «Цели», «Агенты», «Компании» и кнопку «Создать компанию» — скрывать, не удаляя код. §10","Пользовательская панель и навигация",High,"tz-04-08 ui"
Task,"Сгруппировать боковое меню","Сгруппировать пункты бокового меню, чтобы сократить число одновременно видимых функций. §10","Пользовательская панель и навигация",Medium,"tz-04-08 ui"
Task,"Два окружения: development и production","Создать dev- и prod-окружения. §10/§Roadmap-2","Пользовательская панель и навигация",High,"tz-04-08 infra"
Task,"Проверить интерфейс на ~1400px (без адаптива)","Адаптив пока не делать; проверить корректность отображения на ширине ~1400px. §10","Пользовательская панель и навигация",Low,"tz-04-08 ui"
Task,"Запуск: блокировать до заполнения обязательных полей","Скрыть/заблокировать кнопку запуска до заполнения обязательных полей; явно сообщать, каких данных не хватает. §11","Интерфейс запуска модуля",High,"tz-04-08 modules ux"
Task,"Запуск: разделить обязательные и необязательные настройки","Визуально и логически разделить обязательное/необязательное; тайминги размещать до запуска; переименовать непонятные поля (поле обработки истории — «кол-во последних постов»). §11","Интерфейс запуска модуля",Medium,"tz-04-08 modules ux"
Task,"Запуск: пошаговый roadmap обязательных действий","Внизу модуля — пошаговый roadmap (аккаунт → канал/группа → запуск); необязательные шаги серым/второстепенно. §11","Интерфейс запуска модуля",Medium,"tz-04-08 modules ux"
Task,"Запуск: нижняя панель на всю ширину, убрать дубли/«Готово»","Нижнюю панель запуска — на всю ширину, прижать к низу; убрать неработающую «Готово»; устранить дублирование кнопок запуска. §11","Интерфейс запуска модуля",Medium,"tz-04-08 modules ux"
Task,"Папки/цели: починить добавление и удаление","Исправить добавление/удаление в папках; убрать лишнее «Сохранить в папку», если добавление уже выполнено; понятное управление папками и списком целей. §12","Папки, цели, чёрный список",Medium,"tz-04-08 modules"
Task,"Чёрный список: починить работу","Исправить работу чёрного списка. §12","Папки, цели, чёрный список",Medium,"tz-04-08 modules"
Task,"Перед запуском показывать выбранный аккаунт и число целей","Корректно показывать выбранный аккаунт и количество целей перед запуском. §12","Папки, цели, чёрный список",Low,"tz-04-08 modules"
Task,"Проценты: не давать сумму >100% + ограничение в поле","Не разрешать ввод значений, из-за которых сумма >100%; ограничивать максимум прямо в поле, а не только ошибкой после ввода; починить ввод с ведущим нулём. §13","Распределение процентов",Medium,"tz-04-08 modules ux"
Task,"Проценты: авто-распределение 100% + замки + перераспределение","При первичном заполнении распределять 100% поровну; кнопка-замок фиксирует значение; при изменении незакреплённого — поровну перераспределять остаток между незакреплёнными. §13","Распределение процентов",Medium,"tz-04-08 modules ux"
Task,"Прокси: из базы / построчно / вручную, один на несколько","Прокси из базы, массовая построчная вставка, ручное назначение отдельным аккаунтам; один прокси — нескольким аккаунтам. §14","Аккаунты и прокси",Medium,"tz-04-08 accounts"
Task,"Аккаунты: время последней проверки + явные статусы проверок","Показывать последний момент проверки; исправить отдельные/совместные проверки спамблока и статусов, чтобы UI явно показывал, что запущено; уведомление об успехе; автообновление статусов. §14","Аккаунты и прокси",Medium,"tz-04-08 accounts"
Task,"Подключить платёжную систему и протестировать оплату","Подключить платёжку (VIVA/Stripe — по подтверждению), протестировать оплату и доступы по каждой подписке с нового аккаунта. §15","Подготовка к запуску",High,"tz-04-08 billing launch"
Task,"Нагрузочное тестирование + переход на мощный сервер","Провести нагрузочный тест; перед production перейти на более мощный сервер. §15","Подготовка к запуску",Medium,"tz-04-08 infra launch"
Task,"Приёмка: проверить все модули и элементы управления, скрыть неготовое","Проверить каждый модуль и все элементы управления; привлечь фокус-группу 3–4 чел.; скрыть неготовые функции до завершения. §15","Подготовка к запуску",High,"tz-04-08 qa launch"
Task,"Задать Auth-пароль ya.lonk777 и проверить вход","Задать пароль ya.lonk777 в Supabase Auth (email-reset ломается на localhost:3000 — задать через админку/дашборд), проверить вход только через Auth. Блокер для drop users. §16","Профили: финал переезда",High,"tz-04-08 auth db"
Task,"Применить drop table users (финал переезда на profiles)","После пароля ya.lonk777 — применить supabase/migrations/2026-08-03-drop-users-stage4.sql; финальная сквозная проверка (входы, админка, данные). §16","Профили: финал переезда",High,"tz-04-08 db"
Task,"Обновить подписку Supabase (free-план)","На след. неделе обновить подписку Supabase, чтобы free-план не поставили на паузу. §16","Профили: финал переезда",High,"tz-04-08 infra"
